review_id,order_id,review_score,review_comment_title,review_english,review_comment_message,review_creation_date,review_answer_timestamp,,,,,,,,,,,,,,,,,,
e64fb393e7b32834bb789ff8bb30750e,658677c97b385a9be170737859d3511b,5,,I received it well before the estimated date.,Recebi bem antes do prazo estipulado.,21-04-2017 00:00,21-04-2017 22:02,,,,,,,,,,,,,,,,,,
f7c4243c7fe1938f181bec41a392bdeb,8e6bfb81e283fa7e4f11123a3fb894f1,5,,"Congratulations Lannister stores, I loved shopping online, it was safe and convenient. Congratulations to everyone, Happy Easter!",ParabÃ©ns lojas lannister adorei comprar pela Internet seguro e prÃ¡tico ParabÃ©ns a todos feliz PÃ¡scoa,01-03-2018 00:00,02-03-2018 10:26,,,,,,,,,,,,,,,,,,
8670d52e15e00043ae7de4c01cc2fe06,b9bf720beb4ab3728760088589c62129,4,recomendo,"Efficient device. On the website, the brand of the device is printed as 3desinfector, but upon arrival it has a different name...please update with the correct brand since it is the same device.",aparelho eficiente. no site a marca do aparelho esta impresso como 3desinfector e ao chegar esta com outro nome...atualizar com a marca correta uma vez que Ã© o mesmo aparelho,22-05-2018 00:00,23-05-2018 16:45,,,,,,,,,,,,,,,,,,
4b49719c8a200003f700d3d986ea1a19,9d6f15f95d01e79bd1349cc208361f09,4,,But it's a little laggy... for the price it's good.,"Mas um pouco ,travando...pelo valor ta Boa.",16-02-2018 00:00,20-02-2018 10:52,,,,,,,,,,,,,,,,,,
3948b09f7c818e2d86c9a546758b2335,e51478e7e277a83743b6f9991dbfa3fb,5,Super recomendo,"Reliable seller, product was fine, and delivery was ahead of schedule.","Vendedor confiÃ¡vel, produto ok e entrega antes do prazo.",23-05-2018 00:00,24-05-2018 03:00,,,,,,,,,,,,,,,,,,
9314d6f9799f5bfba510cc7bcd468c01,0dacf04c5ad59fd5a0cc1faa07c34e39,2,,"I would like to know what happened, I always received them and this purchase has disappointed me.","GOSTARIA DE SABER O QUE HOUVE, SEMPRE RECEBI E ESSA COMPRA AGORA ME DECPCIONOU",18-01-2018 00:00,20-01-2018 21:25,,,,,,,,,,,,,,,,,,
373cbeecea8286a2b66c97b1b157ec46,583174fbe37d3d5f0d6661be3aad1786,1,NÃ£o chegou meu produto,Terrible,PÃ©ssimo,15-08-2018 00:00,15-08-2018 04:10,,,,,,,,,,,,,,,,,,
d21bbc789670eab777d27372ab9094cc,4fc44d78867142c627497b60a7e0228a,5,Ã“timo,"Excellent store, 10 out of 10.",Loja nota 10,10-07-2018 00:00,11-07-2018 14:10,,,,,,,,,,,,,,,,,,
0e0190b9db53b689b285d3f3916f8441,79832b7cb59ac6f887088ffd686e1d5e,5,,Thank you for your attention.,obrigado pela atenÃ§ao amim dispensada,01-12-2017 00:00,09-12-2017 22:58,,,,,,,,,,,,,,,,,,
fe3db7c069d694bab50cc43463f91608,2ca73e2ff9e3a186ad1e1ffb9b1d9c10,5,,"The purchase was completed easily.

The delivery was made well before the given deadline.

The product has already started to be used and so far,

no problems.","A compra foi realizada facilmente.

A entrega foi efetuada muito antes do prazo dado.

O produto jÃ¡ comeÃ§ou a ser usado e atÃ© o presente,

sem problemas.",23-03-2018 00:00,01-04-2018 00:27,,,,,,,,,,,,,,,,,,
